SPAN   NONBLANK LOCATOR  name
3      3      src/pheroos_interaction/commitment.py:64-66  _sequence
3      3      src/pheroos_interaction/commitment.py:171-173  _perturbation
3      3      runner/session.py:201-203  reserve
3      3      runner/session.py:148-150  recover
3      3      runner/session.py:324-326  publish
3      3      runner/session.py:189-191  _prompt_contract
3      3      runner/session.py:113-115  _event
3      3      runner/session.py:367-369  _claim_received_ready
3      3      runner/runtime_policies.py:119-121  select
3      3      runner/runtime_policies.py:92-94  select
3      3      runner/runtime_policies.py:150-152  __init__
3      3      runner/runtime_policies.py:110-112  __init__
3      3      runner/runtime.py:176-178  read_artifact
3      3      runner/runtime.py:773-775  _load
3      3      runner/runtime.py:53-55  _binding
3      3      runner/policies.py:22-24  pick_fifo
3      3      runner/platform.py:128-130  _spent
3      3      runner/platform.py:370-372  _decision
3      3      runner/orchestration.py:113-115  task
3      3      runner/orchestration.py:98-100  spec
3      3      runner/orchestration.py:330-332  _prompt_contract
3      3      runner/orchestration.py:433-435  _decisions
3      3      runner/inspection.py:42-44  _parse
3      3      runner/inspection.py:71-73  _identity
3      3      runner/inspection.py:120-122  _arguments
3      3      runner/evidence.py:204-206  _publication_access
3      3      runner/evidence.py:89-91  _coord_event
3      3      runner/driver.py:22-24  __init__
3      3      runner/contracts.py:401-403  eligible_agents
3      3      runner/audit.py:135-137  work_calls_of
3      3      runner/audit.py:113-115  decisions
3      3      runner/anthropic.py:235-237  request_digest
3      3      runner/anthropic.py:452-454  load_script
3      3      runner/anthropic.py:63-65  _parse
2      2      src/pheroos_interaction/sequential.py:164-165  risk
2      2      src/pheroos_interaction/sequential.py:61-62  b
2      2      src/pheroos_interaction/sequential.py:57-58  a
2      2      src/pheroos_interaction/sequential.py:192-193  _source
2      2      src/pheroos_interaction/sequential.py:364-365  _pscale
2      2      src/pheroos_interaction/sequential.py:188-189  _channel_at
2      2      src/pheroos_interaction/sequential.py:290-291  _F
2      2      src/pheroos_interaction/leases.py:57-58  loss
2      2      src/pheroos_interaction/commitment.py:284-285  hold
2      2      runner/tools.py:193-194  version
2      2      runner/tools.py:196-197  schema
2      2      runner/tools.py:199-200  output_bytes
2      2      runner/tools.py:190-191  names
2      2      runner/tools.py:123-124  names
2      2      runner/tools.py:47-48  _short
2      2      runner/tools.py:43-44  _copy
2      2      runner/tools.py:161-162  __init__
2      2      runner/session.py:426-427  cancel
2      2      runner/session.py:15-16  _wire
2      2      runner/session.py:430-431  _snapshot_extra
2      2      runner/session.py:198-199  _settled
2      2      runner/session.py:242-243  _scope_ref
2      2      runner/session.py:117-118  _run
2      2      runner/session.py:186-187  _reservation_request
2      2      runner/session.py:183-184  _reservation_capacity
2      2      runner/session.py:38-39  __init__
2      2      runner/runtime_policies.py:42-43  select
2      2      runner/runtime_policies.py:165-166  rule
2      2      runner/runtime_policies.py:278-279  lease_duration
2      2      runner/runtime_policies.py:154-155  duration
2      2      runner/runtime_policies.py:134-135  duration
2      2      runner/runtime_policies.py:196-197  __init__
2      2      runner/runtime_policies.py:178-179  __init__
2      2      runner/runtime_policies.py:131-132  __init__
2      2      runner/runtime_policies.py:64-65  __init__
2      2      runner/runtime.py:62-63  _text_block
2      2      runner/runtime.py:58-59  _receipt_digest
2      2      runner/platform.py:107-108  _platform_limits
2      2      runner/platform.py:367-368  _candidates
2      2      runner/orchestration.py:102-103  _task_row
2      2      runner/orchestration.py:95-96  _orchestration
2      2      runner/orchestration.py:44-45  _digest
2      2      runner/inspection.py:25-26  _wire
2      2      runner/inspection.py:55-56  _load
2      2      runner/inspection.py:29-30  _digest
